id,druh,nazev,adresa,datum_zverejneni,zjistene_skutecnosti,stav_uzavreni,datum_uvolneni_zakazu,datum_uzavreni,referencni_cislo
41013,Rychlé občerstvení,MATĚJ BERÁNEK,"Dolní náměstí 22, 396 01 Humpolec",7. 9. 2021,"Výskyt plísní v chladicích zařízeních|Výrazně zanedbaný úklid|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození podlah|Prostory provozovny využívány i pro skladování předmětů, které mohou ovlivnit kvalitu nebo bezpečnost potravin",Znovu otevřeno,9. 9. 2021,6. 9. 2021,P21-000059-SZPI-CZ
41012,Maloobchod,Astur & Qanto s.r.o.,"Bratří Čapků 61, 534 01 Holice",1. 9. 2021,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Nečistoty na podlaze|Nečistoty na regálech či zařízeních,Znovu otevřeno,1. 9. 2021,31. 8. 2021,P21-000058-SZPI-CZ
41011,Maloobchod,PAVEL BAUER,"Karlovo nám. 23/17, 67401 Třebíč",31. 8. 2021,"Výskyt plísní na provozovně|Výskyt plísní na výrobních zařízeních, předmětech nebo površích|Výskyt plísní na stěnách|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Poškození stěn|Riziko kontaminace potravin z důvodu nevyhovujících prostor",Uzavřeno,,30. 8. 2021,P21-000057-SZPI-CZ
41010,Maloobchod,"BILLA, spol. s r. o.","Plumlovská 4210/104, 796 04 Prostějov",26. 8. 2021,Výrazně zanedbaný úklid|Výrazné znečištění prostor|Nečistoty na podlaze|Poškození stěn|Poškození podlah|Nevhodně skladované potraviny,Znovu otevřeno,7. 9. 2021,26. 8. 2021,P21-000056-SZPI-CZ
41009,Výroba,"Hekrovo pekařství, spol. s r. o.","Obecnice 159, 262 21 Obecnice",25. 8. 2021,Výskyt trusu hlodavců|Výskyt plísní na stěnách,Uzavřeno,,25. 8. 2021,P21-000055-SZPI-CZ
41008,Velkoobchod,Abrita s.r.o.,"Bezová 341, Horní Jirčany, 142 00 Jesenice u Prahy",25. 8. 2021,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců,Znovu otevřeno,27. 8. 2021,24. 8. 2021,P21-000054-SZPI-CZ
41007,Velkoobchod,Abrita s.r.o.,"Bezová 341, Horní Jirčany, 142 00 Jesenice u Prahy",13. 8. 2021,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Stopy po působení a výskytu hlodavců,Znovu otevřeno,27. 8. 2021,12. 8. 2021,P21-000053-SZPI-CZ
41006,Restaurace,THIEN PHUOC s.r.o.,"Libušská 319/126, 142 00 Praha",5. 8. 2021,"Výskyt trusu hlodavců|Výskyt plísní na výrobních zařízeních, předmětech nebo površích|Výrazně zanedbaný úklid",Znovu otevřeno,6. 8. 2021,3. 8. 2021,P21-000052-SZPI-CZ
41005,Maloobchod,TRAMILI 68 spol. s r.o.,"Náměstí Dr. M. Tyrše 63/15, 75117 Horní Moštěnice",4. 8. 2021,Výskyt trusu hlodavců|Výskyt živých hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců,Znovu otevřeno,6. 8. 2021,4. 8. 2021,P21-000051-SZPI-CZ
41004,Maloobchod,TIEN HOAN MAI,"Francouzská 436/36, 120 00 Praha",3. 8. 2021,"Výskyt hmyzích škůdců|Výskyt plísní na provozovně|Výskyt plísní na stěnách|Výskyt plísní na stropě|Výskyt plísní v chladicích zařízeních|Výrazně zanedbaný úklid|Znečištěné kuchyňské nebo pracovní náčiní|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození stěn|Poškození podlah|Poškození stropu|Prostory provozovny využívány i pro skladování předmětů, které mohou ovlivnit kvalitu nebo bezpečnost potravin|Riziko kontaminace potravin z důvodu nevyhovujících prostor|Velikost či uspořádání prostor pro výrobu potravin neumožňuje správnou hygienickou praxi|Nevhodně skladované potraviny",Znovu otevřeno,6. 8. 2021,28. 7. 2021,P21-000050-SZPI-CZ
41003,Maloobchod,KHANH VU HUU,"Francouzská 436/36, 120 00 Praha",3. 8. 2021,"Výskyt hmyzích škůdců|Výskyt plísní na provozovně|Výskyt plísní na stěnách|Výskyt plísní na stropě|Výrazně zanedbaný úklid|Znečištěné kuchyňské nebo pracovní náčiní|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození stěn|Poškození podlah|Poškození stropu|Riziko kontaminace potravin z důvodu nevyhovujících prostor|Nevhodně skladované potraviny",Znovu otevřeno,6. 8. 2021,28. 7. 2021,P21-000049-SZPI-CZ
41002,Restaurace,BLESSLOKK s.r.o.,"Podhorská 663/110, 466 01 Jablonec nad Nisou",27. 7. 2021,"Provozovna nezabezpečená před pronikáním škůdců|Neoddělená umyvadla na mytí rukou a pracovních pomůcek|Výskyt plísní v chladicích zařízeních|Výrazně zanedbaný úklid|Znečištěné kuchyňské nebo pracovní náčiní|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Nečistoty na podlaze|Poškození stěn|Poškození podlah|Prostory provozovny využívány i pro skladování předmětů, které mohou ovlivnit kvalitu nebo bezpečnost potravin",Znovu otevřeno,28. 7. 2021,26. 7. 2021,P21-000048-SZPI-CZ
41001,Maloobchod,L+L plus s.r.o.,691 08 Bořetice 276,26. 7. 2021,"Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Výrazně zanedbaný úklid|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Prostory provozovny využívány i pro skladování předmětů, které mohou ovlivnit kvalitu nebo bezpečnost potravin|Nevhodně skladované potraviny",Znovu otevřeno,28. 7. 2021,23. 7. 2021,P21-000047-SZPI-CZ
41000,Výroba a rozvoz jídel,JAN STODOLA,"Jana Palacha  234, 530 02 Pardubice",26. 7. 2021,Výskyt hmyzích škůdců|Provozovna nezabezpečená před pronikáním škůdců|Výskyt plísní na stěnách|Výrazně zanedbaný úklid|Znečištěné kuchyňské nebo pracovní náčiní|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Silně znečistěná chladicí zařízení|Poškození podlah,Znovu otevřeno,30. 7. 2021,23. 7. 2021,P21-000046-SZPI-CZ
40999,Maloobchod,JIŘÍ ČERNOUŠEK,"Táborská 4384/147, 615 00 Brno",23. 7. 2021,"Výskyt hmyzích škůdců|Nezajištěn přístup teplé vody pro očistu rukou|Výskyt plísní na stropě|Výrazně zanedbaný úklid|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození stěn|Poškození stropu|Prostory provozovny využívány i pro skladování předmětů, které mohou ovlivnit kvalitu nebo bezpečnost potravin|Riziko kontaminace potravin z důvodu nevyhovujících prostor",Uzavřeno,,22. 7. 2021,P21-000045-SZPI-CZ
40998,Maloobchod,Pražská Vinotéka s.r.o.,"Na Radosti 166/2, 155 21 Praha",16. 7. 2021,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců,Uzavřeno,,15. 7. 2021,P21-000044-SZPI-CZ
40997,Maloobchod,VAN BAN NGUYEN,"Na Poříčí 54/77, 267 01 Králův Dvůr",15. 7. 2021,"Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Výskyt plísní na výrobních zařízeních, předmětech nebo površích|Nečistoty na podlaze",Znovu otevřeno,19. 7. 2021,14. 7. 2021,P21-000043-SZPI-CZ
40996,Restaurace,Quang Hung Tran,"Selbská 1204/9, 352 01 Aš",9. 7. 2021,"Špatné hygienické podmínky na toaletách|Výskyt plísní v chladicích zařízeních|Výrazně zanedbaný úklid|Znečištěné kuchyňské nebo pracovní náčiní|Výrazné znečištění prostor|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození stropu|Kouření v prostorách provozovny|Koroze kovových konstrukcí (polic, regálů, aj.)",Znovu otevřeno,20. 7. 2021,8. 7. 2021,P21-000042-SZPI-CZ
40995,Restaurace,Jelení skok s.r.o.,"Pod Jelením skokem 884/2, 360 01 Karlovy Vary",8. 7. 2021,"Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Výskyt plísní na stěnách|Nečistoty na podlaze|Poškození stěn|Koroze kovových konstrukcí (polic, regálů, aj.)",Znovu otevřeno,9. 7. 2021,7. 7. 2021,P21-000041-SZPI-CZ
